epoch,accuracy,loss,val_accuracy,val_loss
0,0.7668167352676392,0.5111896991729736,0.7912946343421936,0.4802377223968506
1,0.7868114113807678,0.47894296050071716,0.7896205186843872,0.47673311829566956
2,0.7791313529014587,0.4780605733394623,0.80859375,0.44797641038894653
3,0.7821769118309021,0.48040062189102173,0.78125,0.4784777760505676
4,0.7828390002250671,0.4778995215892792,0.7952008843421936,0.4586125314235687
5,0.7833686470985413,0.4755651652812958,0.7879464030265808,0.46079328656196594
6,0.7868114113807678,0.47356894612312317,0.7873883843421936,0.461823046207428
7,0.7861493825912476,0.4729689359664917,0.7901785969734192,0.46044155955314636
8,0.7870762944221497,0.4741356670856476,0.7879464030265808,0.46206626296043396
9,0.7868114113807678,0.467739462852478,0.7935267686843872,0.4633176326751709
10,0.7832362055778503,0.48524484038352966,0.8091517686843872,0.4516547620296478
11,0.7799258232116699,0.4779910147190094,0.8030133843421936,0.4407648742198944
12,0.7856196761131287,0.47015342116355896,0.7879464030265808,0.4620279371738434
13,0.7835010886192322,0.4705519676208496,0.7924107313156128,0.46338874101638794
14,0.7844279408454895,0.4720400273799896,0.79296875,0.46353283524513245
15,0.7850900292396545,0.46130919456481934,0.7912946343421936,0.4671366512775421
16,0.7885328531265259,0.4700357913970947,0.796875,0.4774279296398163
17,0.7845603823661804,0.4713077247142792,0.7963169813156128,0.4545832574367523
18,0.7874734997749329,0.4651438891887665,0.78125,0.4745512902736664
19,0.7907838821411133,0.4675350785255432,0.7912946343421936,0.4687162935733795
20,0.7862817645072937,0.47305044531822205,0.7940848469734192,0.4659803807735443
21,0.7956832647323608,0.45952633023262024,0.7974330186843872,0.44790321588516235
22,0.7873411178588867,0.46580615639686584,0.7985491156578064,0.46213412284851074
23,0.7866790294647217,0.463324636220932,0.7935267686843872,0.46268996596336365
24,0.7899894118309021,0.46408700942993164,0.796875,0.46292880177497864
25,0.7907838821411133,0.4626801609992981,0.7806919813156128,0.48301035165786743
26,0.7929025292396545,0.4534507989883423,0.78515625,0.4624311923980713
27,0.7932997941970825,0.45496097207069397,0.7979910969734192,0.44908711314201355
28,0.7915784120559692,0.4608127772808075,0.796875,0.44343265891075134
29,0.7943590879440308,0.45784813165664673,0.7845982313156128,0.47610563039779663
30,0.7993909120559692,0.45521560311317444,0.796875,0.45529255270957947
31,0.7914459705352783,0.4593205749988556,0.8002232313156128,0.4548264443874359
32,0.789724588394165,0.45906636118888855,0.7684151530265808,0.475647509098053
33,0.7909163236618042,0.46168357133865356,0.7879464030265808,0.4709913730621338
